a101,a106
a105,a139
a107,a202
a116,a47
a118,a158
a97,a49
a98,a148
a99,a167
﻿a1,a13
a114,a10
a115,a35
a111,a38
a104,a11
a137,a56
a179,a15
a19,a198
a81,a157
a88,a17
a12,a171
a177,a18
a200,a133
a40,a20
a127,a121
a14,a142
a146,a144
a165,a74
a189,a78
a102,a207
a16,a21
a86,a2
a100,a58
a24,a140
a164,a201
a25,a173
a26,a32
a152,a30
a166,a55
a63,a61
a70,a183
a83,a34
a68,a37
a62,a75
a45,a138
a66,a186
a39,a84
a41,a205
a42,a52
a51,a89
a109,a123
a112,a125
a154,a180
a178,a170
a44,a197
a163,a54
a182,a204
a192,a64
a196,a85
a3,a57
a72,a203
a79,a60
a185,a69
a46,a76
a90,a136
a48,a73
a53,a71
a191,a95
a108,a80
a181,a91
a65,a124
a67,a4
a147,a77
a155,a206
a92,a43
a168,a159
a184,a103
a82,a141
a87,a129
a93,a153
a160,a145
a94,a117
a132,a130
a187,a162
a113,a169
a120,a126
a150,a134
a149,a131
a122,a190
a128,a135
a143,a175
a188,a29
a195,a5
a96,a156
a161,a172
a110,a194
a176,a33
a6,a193
a27,a7
a28,a119
a22,a151
a174,a208
a23,a199
a59,a31
a36,a50
a8,a9
